Record ID,Timestamp,Solar Radiation Sensor
9533960,2024-01-01 06:00:41,0
9533963,2024-01-01 06:01:46,0
9533966,2024-01-01 06:02:06,0
9533967,2024-01-01 06:02:46,0
9533970,2024-01-01 06:03:46,0
9533972,2024-01-01 06:04:06,0
9533973,2024-01-01 06:04:41,0
9533974,2024-01-01 06:05:41,0
9533977,2024-01-01 06:06:46,0
9533980,2024-01-01 06:07:41,0
9533982,2024-01-01 06:08:11,0
9533985,2024-01-01 06:08:41,0
9533986,2024-01-01 06:09:41,0
9533988,2024-01-01 06:10:41,0
9533989,2024-01-01 06:11:41,0
9533992,2024-01-01 06:12:41,0
9533995,2024-01-01 06:13:06,0
9533997,2024-01-01 06:14:06,0
9534000,2024-01-01 06:14:41,0
9534002,2024-01-01 06:15:41,0
9534003,2024-01-01 06:16:41,0
9534006,2024-01-01 06:17:07,0
9534009,2024-01-01 06:17:42,0
9534011,2024-01-01 06:18:42,0
9534013,2024-01-01 06:19:07,0
9534015,2024-01-01 06:19:42,0
9534018,2024-01-01 06:20:42,0
9534019,2024-01-01 06:21:42,0
9534022,2024-01-01 06:22:42,0
9534025,2024-01-01 06:23:42,0
9534026,2024-01-01 06:24:07,0
9534028,2024-01-01 06:24:42,0
9534030,2024-01-01 06:25:42,0
9534031,2024-01-01 06:26:47,0
9534033,2024-01-01 06:27:42,0
9534034,2024-01-01 06:28:42,0
9534036,2024-01-01 06:29:42,0
9534039,2024-01-01 06:30:42,0
9534040,2024-01-01 06:31:42,0
9534041,2024-01-01 06:32:42,0
9534044,2024-01-01 06:33:42,0
9534046,2024-01-01 06:34:42,0
9534048,2024-01-01 06:35:07,0
9534050,2024-01-01 06:35:42,0
9534052,2024-01-01 06:36:12,0
9534053,2024-01-01 06:36:42,0
9534055,2024-01-01 06:37:42,0
9534058,2024-01-01 06:38:42,0
9534060,2024-01-01 06:39:47,0
9534062,2024-01-01 06:40:47,0
9534065,2024-01-01 06:41:07,0
9534067,2024-01-01 06:41:42,0
9534070,2024-01-01 06:42:42,0
9534072,2024-01-01 06:43:42,0
9534075,2024-01-01 06:44:42,0
9534077,2024-01-01 06:45:43,0
9534079,2024-01-01 06:46:43,0
9534080,2024-01-01 06:47:08,0
9534081,2024-01-01 06:47:43,0
9534084,2024-01-01 06:48:43,0
9534087,2024-01-01 06:49:08,0
9534090,2024-01-01 06:49:43,0
9534093,2024-01-01 06:50:43,0
9534094,2024-01-01 06:51:48,0
9534096,2024-01-01 06:52:43,0
9534098,2024-01-01 06:53:43,0
9534099,2024-01-01 06:54:08,0
9534101,2024-01-01 06:54:43,0
9534102,2024-01-01 06:55:08,0
9534104,2024-01-01 06:55:43,0
9534107,2024-01-01 06:56:43,0
9534109,2024-01-01 06:57:08,0
9534112,2024-01-01 06:57:43,0
9534113,2024-01-01 06:58:33,0
9534115,2024-01-01 06:59:43,0
9534116,2024-01-01 07:00:43,0
9534118,2024-01-01 07:01:43,0
9534119,2024-01-01 07:02:08,0
9534120,2024-01-01 07:02:43,0
9534123,2024-01-01 07:03:48,0
9534126,2024-01-01 07:04:43,0
9534128,2024-01-01 07:05:43,0
9534131,2024-01-01 07:06:48,0
9534133,2024-01-01 07:07:43,0
9534136,2024-01-01 07:08:08,0
9534138,2024-01-01 07:08:43,0
9534141,2024-01-01 07:09:08,0
9534142,2024-01-01 07:09:43,0
9534144,2024-01-01 07:10:08,0
9534147,2024-01-01 07:10:43,0
9534150,2024-01-01 07:11:08,0
9534151,2024-01-01 07:11:43,0
9534154,2024-01-01 07:12:08,0
9534157,2024-01-01 07:12:43,0
9534158,2024-01-01 07:13:44,0
9534159,2024-01-01 07:14:49,0
9534160,2024-01-01 07:15:44,0
9534161,2024-01-01 07:16:44,0
9534163,2024-01-01 07:17:09,0
9534164,2024-01-01 07:17:44,0
9534167,2024-01-01 07:18:44,0
9534168,2024-01-01 07:19:09,0
9534171,2024-01-01 07:19:44,0
9534172,2024-01-01 07:20:09,0
9534174,2024-01-01 07:20:44,0
9534176,2024-01-01 07:21:09,0
9534178,2024-01-01 07:22:09,0
9534180,2024-01-01 07:22:44,0
9534181,2024-01-01 07:23:09,0
9534182,2024-01-01 07:23:44,0
9534184,2024-01-01 07:24:09,0
9534187,2024-01-01 07:24:44,0
9534190,2024-01-01 07:25:44,0
9534192,2024-01-01 07:26:09,0
9534194,2024-01-01 07:27:09,0
9534196,2024-01-01 07:27:54,0
9534198,2024-01-01 07:28:44,0
9534199,2024-01-01 07:29:44,0
9534202,2024-01-01 07:30:44,0
9534203,2024-01-01 07:31:09,0
9534204,2024-01-01 07:31:44,0
9534207,2024-01-01 07:32:44,0
9534208,2024-01-01 07:33:44,0
9534211,2024-01-01 07:34:44,0
9534213,2024-01-01 07:35:44,0
9534216,2024-01-01 07:36:09,7
9534218,2024-01-01 07:36:44,7
9534220,2024-01-01 07:37:09,7
9534223,2024-01-01 07:37:44,7
9534226,2024-01-01 07:38:44,7
9534227,2024-01-01 07:39:44,7
9534230,2024-01-01 07:40:44,7
9534232,2024-01-01 07:41:45,9
9534233,2024-01-01 07:42:45,9
9534236,2024-01-01 07:43:10,9
9534237,2024-01-01 07:43:45,9
9534238,2024-01-01 07:44:45,9
9534240,2024-01-01 07:45:45,11
9534241,2024-01-01 07:46:45,11
9534244,2024-01-01 07:47:45,11
9534247,2024-01-01 07:48:45,12
9534248,2024-01-01 07:49:10,12
9534249,2024-01-01 07:49:45,12
9534251,2024-01-01 07:50:10,12
9534254,2024-01-01 07:50:45,12
9534255,2024-01-01 07:51:45,12
9534258,2024-01-01 07:52:45,14
9534260,2024-01-01 07:53:45,18
9534261,2024-01-01 07:54:45,23
9534264,2024-01-01 07:55:45,26
9534266,2024-01-01 07:56:45,28
9534268,2024-01-01 07:57:10,32
9534271,2024-01-01 07:57:45,32
9534272,2024-01-01 07:58:45,33
9534273,2024-01-01 07:59:45,37
9534275,2024-01-01 08:00:45,39
9534276,2024-01-01 08:01:40,40
9534279,2024-01-01 08:02:40,44
9534282,2024-01-01 08:03:10,44
9534284,2024-01-01 08:04:05,47
9534287,2024-01-01 08:04:45,47
9534288,2024-01-01 08:05:05,49
9534291,2024-01-01 08:05:40,49
9534293,2024-01-01 08:06:40,53
9534294,2024-01-01 08:07:45,54
9534297,2024-01-01 08:08:40,56
9534299,2024-01-01 08:09:05,56
9534302,2024-01-01 08:09:40,58
9534303,2024-01-01 08:10:05,58
9534306,2024-01-01 08:10:41,62
9534308,2024-01-01 08:11:41,63
9534310,2024-01-01 08:12:46,54
9534313,2024-01-01 08:13:41,67
